sample_id	Bact_Phoc	Prevotella	Firmicutes	enterotype	Enterotype_Dysbiosis_Score
SAMEA7324809	0.31808990240097046	0.3037208914756775	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324883	0.4672541916370392	0.20756271481513977	0.35710272192955017	Bact_Phoc	0.7315963227385921
SAMEA7324827	0.31238195300102234	0.31863102316856384	0.3835926353931427	Firmicutes	0.8382574049038704
SAMEA7324858	0.32137012481689453	0.3029225170612335	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324835	0.3121625483036041	0.3505389094352722	0.37833476066589355	Firmicutes	0.8486359894464356
SAMEA7324937	0.6101635098457336	0.12829580903053284	0.30613720417022705	Bact_Phoc	0.43178064790497983
SAMEA7324782	0.3312358260154724	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324906	0.3445381224155426	0.2980443239212036	0.38478001952171326	Firmicutes	0.8359136125538922
SAMEA7324803	0.29737186431884766	0.3530864417552948	0.37821879982948303	Firmicutes	0.8488648859886213
SAMEA7324859	0.32614392042160034	0.29756081104278564	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324831	0.3445381224155426	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324898	0.3752605617046356	0.18745936453342438	0.41708558797836304	Firmicutes	0.7721452478027627
SAMEA7324833	0.301164448261261	0.34619706869125366	0.38074055314064026	Firmicutes	0.8438871656561645
SAMEA7324931	0.4903140068054199	0.13287054002285004	0.3865452706813812	Bact_Phoc	0.683218133458099
SAMEA7324789	0.3083714246749878	0.3565596640110016	0.3778887391090393	Firmicutes	0.8495163969638737
SAMEA7324907	0.36343419551849365	0.23377899825572968	0.39572155475616455	Firmicutes	0.8143159796038921
SAMEA7324820	0.3319476842880249	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324914	0.5917937159538269	0.13490046560764313	0.30357351899147034	Bact_Phoc	0.4703194375464891
SAMEA7324902	0.4573054313659668	0.19164127111434937	0.36778485774993896	Bact_Phoc	0.7524682596550746
SAMEA7324792	0.26898762583732605	0.40588125586509705	0.33865076303482056	Prevotella	0.92944457862011
SAMEA7324801	0.25537633895874023	0.45097100734710693	0.30870839953422546	Prevotella	0.871830206950964
SAMEA7324957	0.448307067155838	0.15241198241710663	0.4134252667427063	Bact_Phoc	0.7713463193356802
SAMEA7324890	0.34565985202789307	0.25668367743492126	0.4324793219566345	Firmicutes	0.7417593641887503
SAMEA7324955	0.3444676399230957	0.24848194420337677	0.4222845137119293	Firmicutes	0.7618830234145134
SAMEA7324877	0.2065955400466919	0.5243088006973267	0.2577943801879883	Prevotella	0.7781213098158709
SAMEA7324874	0.4109468460083008	0.17246976494789124	0.41375139355659485	Firmicutes	0.7787266557827461
SAMEA7324959	0.2663954794406891	0.3600336015224457	0.4154491722583771	Firmicutes	0.7753753892149646
SAMEA7324786	0.3413258194923401	0.29747289419174194	0.3871758282184601	Firmicutes	0.8311844958676129
SAMEA7324954	0.3451133668422699	0.26540249586105347	0.4066655933856964	Firmicutes	0.7927134051710999
SAMEA7324896	0.4575679302215576	0.19440653920173645	0.3937568664550781	Bact_Phoc	0.75191755188795
SAMEA7324798	0.3293699324131012	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324924	0.34779033064842224	0.24687393009662628	0.4204527735710144	Firmicutes	0.7654987181388422
SAMEA7324934	0.1718217432498932	0.6558414101600647	0.18523140251636505	Prevotella	0.6100527709767872
SAMEA7324791	0.14882703125476837	0.6742686629295349	0.17630261182785034	Prevotella	0.5865069638918858
SAMEA7324796	0.34461918473243713	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324926	0.34640073776245117	0.2863961458206177	0.391861230134964	Firmicutes	0.8219359225506571
SAMEA7324891	0.4382556676864624	0.23659494519233704	0.34903398156166077	Bact_Phoc	0.7924335874908068
SAMEA7324848	0.21897616982460022	0.47932878136634827	0.27913251519203186	Prevotella	0.8355954689372473
SAMEA7324901	0.43247053027153015	0.18365062773227692	0.3988189697265625	Bact_Phoc	0.8045704789112123
SAMEA7324787	0.3441096246242523	0.29747289419174194	0.38441532850265503	Firmicutes	0.8366334807077671
SAMEA7324823	0.2761486768722534	0.38255947828292847	0.36422958970069885	Prevotella	0.9592444670080581
SAMEA7324932	0.6192373037338257	0.13361260294914246	0.28809869289398193	Bact_Phoc	0.412744341021991
SAMEA7324830	0.3445381224155426	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324832	0.3445381224155426	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324943	0.5145509243011475	0.1689842790365219	0.33153581619262695	Bact_Phoc	0.6323704500043406
SAMEA7324920	0.46417829394340515	0.204542875289917	0.35892167687416077	Bact_Phoc	0.7380493823031848
SAMEA7324850	0.3422369956970215	0.29747289419174194	0.3839110732078552	Firmicutes	0.8376288365272949
SAMEA7324841	0.32137012481689453	0.30209261178970337	0.3839110732078552	Firmicutes	0.8376288365272949
