onlyID	kingdom	phylum	class	order	family	genus	species
07401	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus coprophilus
07402	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus marinonascens
07403	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Rhodococcus_B	Rhodococcus_B yunnanensis
07404	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas	Comamonas terrigena
07405	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium lentum
07406	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium naphthalenivorans
07407	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Caenibius	Caenibius tardaugens
07408	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas_B	Sphingomonas_B changbaiensis
07409	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium rosa
07410	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas soli
07411	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio proteolyticus
07412	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Millisia	Millisia brevis
07413	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter boissieri
07414	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium_A	Arcanobacterium_A sp000758825
07415	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp000309865
07416	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	RS24	Micropelagos	Micropelagos sp000293845
07417	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus chromogenes
07418	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Spirillospora	Spirillospora chibensis
07419	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Spirillospora	Spirillospora hibisca
07420	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Spirillospora	Spirillospora macra
07421	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Actinomadura_B	Actinomadura_B viridilutea
07422	Bacteria	Firmicutes	Alicyclobacillia	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus sendaiensis
07423	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter petaseus
07424	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Herbiconiux	Herbiconiux solani
07425	Bacteria	Firmicutes	Bacilli	Bacillales_D	Amphibacillaceae	Amphibacillus_B	Amphibacillus_B sediminis
07426	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Altibacter	Altibacter lentus
